price,bedrooms,sqft_living,floors
225000,3,1430,1
210000,2,830,1
455000,2,1430,1.5
225000,3,1300,1
480000,2,1030,1
363000,3,2740,2
2.40E+06,4,3650,1
181000,2,720,1
250000,4,2010,1
481000,3,1560,1
260000,3,1810,1
455000,4,3360,2
415000,3,1510,2
349500,3,1400,1
245000,3,1730,2
592500,2,1420,1.5
385000,4,2360,1
315000,3,1580,1
255000,3,1230,1
693000,4,2460,2
780000,3,1660,1.5
237000,3,1270,1
525000,3,2100,2
425000,2,770,1
369900,1,760,1
290000,4,1700,2
285000,3,1120,1
415000,2,1070,1
272500,3,2070,1
2.90E+06,4,5050,1.5
1.37E+06,4,5310,2
436000,2,1040,1
210000,3,1700,1
236000,3,1300,1
331000,3,1080,1
365000,3,2653,2
450000,3,2290,1
770000,4,3820,2
455000,4,2210,1
405000,3,2390,1
304900,4,2600,1
170000,2,860,1
2.05E+06,5,3830,2
780000,4,3500,2
330000,3,2420,1
370000,4,2720,2
467000,5,2500,1
405000,3,1670,1
675000,5,2900,1
500000,2,1640,1
389999,4,1890,2
630000,4,2950,1
360000,4,2160,2
580000,4,3280,2
550000,3,1970,2
879000,4,3360,2
265000,3,1320,1
446500,3,2650,2
404000,3,2030,1
267500,3,1590,1
3.08E+06,4,4550,1
335000,3,2440,2
576000,3,1940,1
208633,3,2040,2
315000,3,2200,1
725000,3,1920,1
550000,4,1800,1
610750,4,2180,2
550700,2,1010,1.5
665000,4,3320,2
834000,4,2370,1.5
201000,5,1660,1.5
2.38E+06,5,3650,2
1.38E+06,4,4290,1
1.40E+06,4,4290,1
305000,4,1950,1
487000,3,2590,1
390000,3,1930,1
548000,2,1470,1
268750,4,800,1
819900,5,3150,2
520000,3,2030,2
230000,3,1450,1
240000,3,1510,1
232000,2,1240,1
240500,2,1240,1
274975,3,3030,2
740000,4,2050,1.5
186375,3,1000,1
790000,3,2370,1
880000,4,2800,2
279000,6,2240,2
295000,3,1810,1
640000,2,1070,1
940000,4,2490,2
260000,4,1960,2
559900,3,2930,1
791500,4,1510,1.5
265000,3,1420,1
245000,3,1740,1
485000,4,2560,2
684000,4,3040,2
425000,3,2500,1
309600,4,1275,1
552250,4,2580,2
165000,4,1000,1
239900,4,1000,1
320000,2,1070,1
206600,3,1390,1
387000,4,2500,1
299000,1,560,1
855000,4,2270,2
315000,3,1900,1
437500,2,990,1
252000,4,1550,1
375000,4,2200,1
300000,4,1910,2
420000,4,1750,1.5
900000,3,1330,1
679900,3,2440,2
463000,3,1640,2
380000,5,2760,2
329500,4,1820,2
604950,3,2110,1
795000,5,3040,1
465000,3,1840,2
673000,4,2990,2
810000,4,3520,2
785000,4,2440,1
338000,4,2090,1
280000,3,1430,2
315000,4,2180,1
530000,4,2180,1
380000,5,3450,2
297000,3,1450,2
730000,4,3230,2
450000,3,1640,1
275000,3,1590,1
595000,4,2020,2
435000,3,1300,1.5
270000,2,1380,1
950000,3,4040,2
389000,4,2130,2
560000,4,2550,1
1.35E+06,5,4800,2
799000,4,2510,2
365500,3,1410,1
252350,3,1650,1
403950,4,2120,2
385000,4,2040,1
345000,4,1550,1.5
490000,3,1980,2
330000,3,1600,2
927000,4,3300,2
1.12E+06,4,3840,2
330000,2,1220,1
530000,5,2720,1
365000,4,1940,1
378750,3,2160,1.5
269900,4,1530,1.5
557000,3,1710,2
360000,4,3730,1
352000,2,940,1
437000,3,1750,2
322500,4,1820,2
650000,3,1510,2
450000,3,1290,3
278500,3,1570,1
364950,4,1930,2
840000,4,2840,1
268000,3,1550,2
517534,2,833,1
632925,3,2990,2
577500,3,2000,2
339000,4,2390,1.5
570000,3,2910,1
563500,4,2085,1
423000,4,2200,1
355000,3,1860,2
1.55E+06,5,6070,2
482000,2,950,1
625000,3,1600,1
538000,3,2250,2
380000,3,2280,2
375000,2,940,1
245000,3,1530,1
310000,5,2190,1
1.30E+06,3,2350,1
397000,4,1440,1
365000,3,2200,2
328500,4,2290,2
988000,4,4040,2
1.00E+06,4,2610,1.5
237000,3,1490,2
525000,4,2450,2
749000,4,1710,1
722500,5,4870,2
843000,3,3130,2
438000,2,1270,3
578000,3,2120,1
227950,3,1670,1
196000,3,2070,2
641000,2,1420,1
350000,3,1250,1
205000,3,940,1
400000,3,1920,1
1.03E+06,3,3545,1
505000,3,1260,1
475000,5,2340,1
520000,3,2590,1
1.45E+06,3,3970,2
333500,3,1220,1
232000,3,1400,1
691100,3,2360,1
811000,3,1870,1
551000,3,2830,2
496500,3,2260,2
705000,3,1970,2
578000,4,3140,1
255000,3,1240,1
1.05E+06,4,3450,2
348000,3,2570,2
230000,3,1510,2
359500,4,2390,2
330000,3,980,1
80000,1,430,1
465000,3,1480,1
325000,4,1850,2
340500,3,2270,1
342500,3,1810,2
290900,2,1610,2
868700,3,3840,2
1.20E+06,4,4110,2
1.15E+06,4,4190,2
859900,4,3390,2
520000,4,1890,2
460000,3,1610,2
438924,3,1050,1
315000,2,630,1
590000,4,2910,1
378500,4,1700,1
328500,3,1950,2
849950,3,2990,2
525000,3,1350,1
1.39E+06,4,4860,2.5
295000,4,2160,1
1.07E+06,6,4860,2
207950,2,890,1
699900,4,2810,2
1.28E+06,5,3400,2
452000,4,1580,1
370000,3,1680,1
232000,3,1300,1
669950,5,2820,2
397500,3,1510,1
490000,2,1230,2
725000,4,2110,2
299000,3,3080,1
625000,2,1490,1.5
437500,3,2120,2
650000,4,3180,2
475000,2,1490,1
342000,3,1930,1
1.20E+06,4,2770,2
280000,3,1670,1
240000,2,1330,1
529000,3,1210,1.5
442000,3,1190,1
615000,2,1540,1
1.49E+06,4,4030,2
585000,4,2430,1
480000,4,2600,2
1.10E+06,5,4410,2
290000,4,1330,1.5
615000,3,1900,1
300000,2,1100,1
308000,3,1980,1.5
750000,3,2400,2
2.25E+06,4,4760,2.5
890000,4,3180,2
288000,3,1190,1
190000,2,630,1
515000,5,2530,1
235000,4,1690,1
275000,2,940,1
727500,2,1240,1
650000,4,3040,2
1.60E+06,6,6050,2
365000,4,1590,1.5
662000,3,2500,1
270500,3,1780,1
200000,2,1360,2
970000,4,4740,2
160000,3,1010,1
204000,3,1040,1
358000,3,1610,2
452000,4,1570,1
595000,2,1510,1
249000,3,1360,1
346900,4,1970,2
2.13E+06,3,5403,2
280000,4,1560,2
318888,4,2320,1
530000,3,2120,1
375000,3,2120,2
910000,4,3350,2
782000,4,2380,2
259950,2,1070,2
315000,4,2300,1
215000,2,1320,1
705000,3,2180,1
1.45E+06,3,4380,2
451000,3,1790,2
261000,2,750,1
396000,3,1300,1
725000,4,2990,2
1.95E+06,7,4640,2
238000,4,1400,1.5
750000,6,2750,2
331500,4,2050,2
460000,4,2230,1
404950,4,2340,1
880000,3,2870,2
863000,4,4120,2
638700,3,2080,1
435000,3,1840,2
260000,3,1180,1.5
671500,5,2160,1.5
610000,3,1180,1.5
405000,2,1160,1
338900,4,1830,2
720000,4,3200,2
442000,5,2560,1.5
650000,5,2550,1.5
263500,3,1330,1
300000,2,1220,1
266000,3,1805,2
930000,4,6050,2.5
530000,4,2320,2
180000,3,1384,1
619000,3,2720,2
264000,3,1820,1
730000,2,2130,1.5
439000,4,2060,2
268500,4,1420,1
330000,3,1510,1
640000,3,2160,1.5
900000,3,3180,2
370000,3,2110,2
685000,3,2060,1.5
505000,3,1830,1
265000,3,1820,1
290000,3,1610,2
296000,4,1780,2
360000,4,1840,2
240500,3,1460,1
372500,2,1400,2
595000,3,3370,2
515000,4,3590,2
1.22E+06,4,3200,2
507000,2,1670,1
399950,4,2420,1
185000,3,1430,2
460000,3,1440,1
435500,3,1450,2
469000,4,3550,1
531000,2,1270,2
443500,2,940,1
223000,3,1670,1
590000,4,3100,2
340000,2,1100,3
650000,3,1870,1
533600,3,1930,2
695000,3,2540,2
242000,3,1280,1.5
425000,3,1820,1
525000,3,1490,2
485000,3,1880,2
175000,3,1250,1
210000,3,1440,1
260000,3,1920,2
577000,3,2060,1
200000,3,1210,1
605000,2,1760,1
325000,3,990,1
289500,3,960,1
559950,3,1660,3
1.04E+06,3,1900,1
543500,3,1270,1
480000,4,3250,2
218000,3,960,1
565000,2,1330,1
426700,3,2080,1
650000,3,2690,1
542000,2,890,1
415000,3,1070,1
214000,3,1200,1
245000,3,1360,2
314500,3,2050,1
1.12E+06,3,3000,2
378000,2,1300,1
305000,4,2250,1
595000,5,3740,1
729500,3,1660,3
430000,3,2360,2
240000,3,1760,1
545000,3,1680,1.5
530000,3,1320,1
157000,1,870,1
425000,4,1260,1.5
220000,3,1000,1
521000,4,2020,1
325000,3,1920,1
597500,3,2150,1.5
337000,3,1470,2
1.00E+06,3,3180,2
3.07E+06,3,3930,1
495000,3,990,1
748000,4,2770,2
888000,3,1250,1
269900,3,1140,1
496500,4,2250,1
475000,3,1640,2
312000,3,1255,3
323000,3,1290,1
331000,3,1300,1
306000,3,1220,3
655000,4,2630,3
290000,3,1950,1
1.25E+06,4,3160,2
460000,3,1550,1
435000,4,1700,1
664000,4,2510,1
865000,4,1800,2
385000,3,1800,1
497000,3,1870,1
280000,2,1010,1
188000,2,1120,1
478500,3,2090,1
1.15E+06,4,4370,2
222000,3,1440,1
799000,4,2580,2
609900,4,3190,2
413000,4,2380,2
400000,4,1420,1.5
802541,5,2990,2
320000,3,2680,2
507000,4,2730,2
387500,3,1220,1
396000,3,1500,1
373000,3,1830,1
1.48E+06,5,4570,2
359900,4,2470,2
410000,2,800,1
690000,4,2900,2
245000,3,1410,1
700000,5,2830,1
268000,4,1680,1
225000,3,1760,1
980000,4,2240,2
795000,2,1380,1.5
195000,2,820,1
480000,4,2180,1
485000,4,1400,1
130000,2,880,1
325000,2,1060,1
440000,3,1530,1
550000,4,2480,1
310000,3,1490,1
530000,3,3660,2
390000,4,2340,2
243000,3,1450,1
639000,4,2210,2
215000,4,1130,1
405000,5,1550,1
250000,4,1710,1
405500,3,1010,1
452000,6,2660,2
730000,6,2660,2
267000,3,1300,1
289950,3,1670,2
565000,2,960,1
1.58E+06,4,4670,2
636000,3,2140,2
350000,5,2520,1
320000,3,1650,1
210000,2,1440,1
245000,2,1050,1
328000,3,1470,1
985000,4,4230,2
501000,3,1970,1
315000,3,1540,2
403000,3,2090,2
550000,3,2380,2
347500,4,2156,2
365000,4,2070,2
588000,3,1910,1
605000,3,1920,1
1.30E+06,3,3400,2
233000,3,1400,1
360000,4,2210,2
459000,2,1170,1
740000,3,2100,1
305000,3,1160,1
395000,3,1500,1
560000,4,2940,2
650000,4,2010,1
449950,3,2170,2
517500,3,1430,1
435000,4,1510,1
329999,3,1150,1
950000,3,2150,1
447000,3,1370,1
699800,2,2380,1
850000,3,1370,1
316500,3,1600,1
942500,5,3750,1
1.31E+06,2,3950,2
856600,4,2400,1
405600,5,2830,2.5
565000,4,2440,2
400000,3,1190,2
330000,3,1400,1
374950,4,2730,2
405300,3,2390,1
560000,3,2060,2
824000,4,2490,1
260000,3,1100,1
760000,4,2430,1
405000,3,3170,2
429900,4,2640,2
341500,3,1130,1
465250,5,1940,1.5
450000,2,1100,1.5
390000,3,1200,1
420000,3,2000,1
269950,3,1890,2
493000,4,1910,1
370000,4,2710,2
2.25E+06,5,4860,1.5
305000,3,1250,1
400000,3,1590,1.5
320000,3,1240,2
715000,4,2000,2
650000,6,3610,1.5
218000,5,1930,1
500000,2,1280,1
460000,4,2090,1
232500,3,1940,1
408200,3,1800,2
522000,3,1730,1
675000,4,2810,2
1.36E+06,4,3550,1
249950,4,1330,1.5
210000,2,750,1
429950,4,1760,1
737500,4,3200,2
710000,4,1740,1
470000,3,2100,2
1.10E+06,4,4270,1
650000,3,1340,1.5
1.22E+06,4,3190,1
422120,3,1630,2
625000,5,2990,2
385200,4,1550,1.5
500000,3,1690,2
308000,4,1960,2
565000,3,2390,1
581000,3,2600,2
361000,3,1950,1
345000,3,1250,1
419000,2,1180,2
347000,3,1680,2
625000,4,2220,2
2.40E+06,4,4890,2
379000,3,2660,2.5
310000,3,1150,2
250000,2,1130,1
682000,5,2760,2
246500,3,1430,1
325000,3,1490,1.5
310950,4,2030,2
1.10E+06,3,3010,2
287500,3,1810,1
431000,3,1810,1
226000,3,970,1
825000,3,2010,1.5
175000,4,1300,1.5
465750,3,1260,1
659000,4,2610,2
595000,3,1910,1
350000,3,1780,2
270000,4,1900,1
662500,6,2450,1
249900,3,1380,1
324500,3,1920,1
430000,2,1350,1
419950,2,1350,1
285000,4,2510,1
332000,4,2470,2
282000,4,1660,1
320000,3,1340,1
428750,3,1620,1.5
330000,3,2300,2
456500,4,2000,3
352000,3,1640,1
664000,4,1530,1.5
628000,3,4000,1
512000,3,1610,1
254000,3,2070,1
535800,4,1900,2
287653,3,1050,1
438000,3,1520,2
450000,4,2390,1
327000,5,2400,2
370500,4,1790,2
265000,3,1720,2
450000,4,2980,1
425000,3,1520,1.5
166600,3,1150,1
245000,1,380,1
565000,3,910,1
539900,3,1650,1
910000,3,2480,2
280000,4,2050,2
275000,3,1420,2
467000,3,3460,2
457500,3,1500,2
381156,2,1320,1
289999,5,2180,1
642450,3,1830,1
469950,3,1620,1
795000,3,2920,1
785000,4,3300,2
860000,3,3060,2
1.10E+06,0,3064,3.5
147500,3,1530,1
390000,3,1910,1
229000,3,1020,1
185000,3,1150,1
414900,3,1260,1
200000,4,1920,1
225000,4,1800,1
720000,3,2040,2
930000,4,2200,2
1.27E+06,5,3200,1
700000,5,2400,2
466000,2,1140,3
374000,3,1330,1
480000,3,1940,2
740000,3,3000,2
1.01E+06,4,1820,1.5
395000,4,2910,2
340000,2,1090,1
209000,3,1230,2
431650,5,1710,1.5
980000,5,3160,1
660000,3,2680,2
730000,4,2190,2
291500,3,1260,1
905000,4,2970,2
800000,4,2570,1.5
839900,4,3810,1
200000,1,1010,2
300000,3,1480,1
530000,3,1250,1.5
314950,3,1654,2
255000,3,1410,1
550000,5,2160,1
435000,3,1400,1
234000,3,1420,1
615000,4,2500,1
205000,3,1410,1
384000,4,2100,1
324000,3,1750,2
645000,3,2070,1
570000,3,1570,2
324000,3,1920,2
270000,2,1000,1
290000,5,2120,1.5
250000,3,1440,1
342000,3,1660,2
255000,3,1340,1
800000,3,2380,1
451000,3,1560,1.5
990000,4,2780,1
288400,4,1860,1
420000,3,2390,2
359000,2,1370,2
390000,4,2570,1
300000,3,1320,2
545000,5,2520,1
288349,3,1250,1
299900,3,1560,1
891000,4,2330,1.5
1.20E+06,3,3660,1
378000,4,2790,2
299995,2,1060,1
253000,3,2020,1
350000,3,1580,1
565000,4,2020,1.5
315000,2,970,1
570000,4,1490,1.5
971000,5,4390,2
915000,5,2750,1.5
419000,4,2150,1
260000,4,1810,1
1.32E+06,3,2230,2
369950,3,2430,1
1.03E+06,3,3680,2
435000,5,1410,1.5
601000,3,1330,1
460500,3,1490,1
720000,3,2020,3
851000,4,3130,2
550000,4,2670,2
700000,4,1980,1.5
323000,3,2100,1
345500,3,1350,1
378000,4,2140,1
650000,4,2208,3
385000,3,1010,1
425000,2,970,1
210000,4,1520,1.5
630000,4,2740,2
335000,3,1570,1
196500,3,1320,1
582800,4,2550,1
440000,3,1560,1
752500,4,2360,2
532500,3,1330,2
265000,3,1070,1
397500,3,1510,1
524250,3,1710,2
765000,4,2790,2
648000,4,2620,2
469500,5,2970,1
237500,3,1050,1
216000,3,1280,1
427200,3,1030,1
280000,3,1900,1
718000,5,3070,1
420000,2,1760,2
379000,2,930,1
326100,2,880,1
535000,3,1360,3
283000,4,2130,1
260000,3,1480,1.5
399000,4,1500,1.5
484950,3,1670,2
640000,4,2060,1
585000,4,2160,1
645000,4,2780,1
253000,3,1490,1
178500,2,740,1
291000,4,1860,2
199950,2,1590,1.5
553500,2,850,1
189950,2,1030,1
289000,3,1850,1
700000,4,1830,2
270000,3,1560,1
258000,4,1730,1
530000,3,1930,2
245000,3,1422,2
563000,3,1380,1.5
515000,3,2430,2
325000,4,2610,2
540000,3,2000,2
280300,2,920,1
460000,4,1750,1.5
475000,3,2020,1
900000,4,2460,1
538200,4,1780,1
429000,2,1080,1
164808,3,1250,1
520000,4,1870,2
475000,3,1700,1
283000,4,1480,1
321500,4,1930,2
840000,4,3130,2
287000,3,1370,2
375000,3,960,1
349500,3,1260,1
446450,3,1480,1
315000,4,1930,2
271310,2,870,1.5
315000,4,1300,1.5
245000,3,1490,1
543115,2,1380,1
900000,4,1190,1.5
2.45E+06,4,4250,2
554000,2,1920,1
249900,3,2080,1
768000,3,3220,2
980000,4,3680,1
395000,5,2070,1
415000,3,1480,2
380000,4,2000,2
566000,3,1560,2
218500,2,1600,1
550000,4,1940,1
512031,3,1540,1
197500,2,820,1
470000,3,1780,1
590000,3,1560,1
465000,4,2210,1
499000,2,2040,1
515000,3,1920,1
716500,3,1930,1
410000,3,1700,1
850000,4,3450,2
1.05E+06,4,3440,2
648000,4,2380,2
620000,4,2400,1.5
935000,4,5670,2
379000,3,1140,1
699000,3,1670,1
528000,4,1910,1
425000,3,1560,1
249500,2,1500,1
1.04E+06,5,4475,2
790000,4,2840,1
399950,3,1020,1
275000,3,1410,1
550000,3,1520,1.5
140000,1,730,1
250000,3,1190,1
318000,3,1410,2
505000,2,1240,1
470500,5,2500,1
360000,3,1050,1.5
1.24E+06,4,2680,1
986000,3,2380,1
515000,2,1060,1
320000,3,2300,1
310000,4,2010,1
356700,2,1090,1
775000,4,2320,1
325000,3,1040,1
208000,4,1810,1.5
825000,2,1150,1
515000,3,2360,1
490000,3,1970,1.5
675000,4,2690,1
360000,4,2080,1
550000,4,2080,1
225000,3,1370,1
500000,3,3410,1.5
385000,4,1850,1
837700,5,3010,2
448000,3,1530,2
730000,5,2690,1
575000,4,2810,1
430000,3,1810,1
435000,3,1560,2
241000,3,1010,1
453500,2,1000,1
285000,2,990,3
151000,2,720,1
1.57E+06,5,6070,2
631000,5,2270,2
285000,2,1380,2
195000,3,1260,1
817500,4,2910,2
550000,3,1810,1
1.13E+06,4,3160,2
609850,2,1910,3
200000,3,1230,1
367000,4,2960,2
285167,3,2200,2
275000,2,1270,1
350900,4,2540,2
660000,4,3030,2
525000,3,1520,1
262000,4,1560,2
690000,2,970,1
624000,5,3570,2
353000,3,1350,1
552500,4,3710,2
224500,4,1430,1.5
239000,3,940,1
975000,5,4300,2
1.20E+06,4,3990,2
505000,3,1380,1.5
302000,4,2020,1
170000,3,1480,1
195000,2,1190,1
272000,5,2550,1
369000,5,2550,1
332500,3,1500,1
515000,3,3000,1
269000,3,1690,1
1.28E+06,4,4390,1
303000,3,1560,2
420000,7,2940,1
400000,3,1130,1
225000,3,1020,1
219000,2,1310,2
605000,3,2570,2
625000,4,2020,1
380000,5,1680,1
620000,4,1770,1.5
687500,4,3190,2
225500,4,1440,1
252500,3,1150,1
510000,3,1860,2
510000,4,2430,2
725000,3,1940,1.5
75000,1,670,1
492000,2,880,1
425000,4,1930,1
1.96E+06,4,3120,1
298900,3,1830,2
699000,4,3230,2
310000,2,700,1
350000,3,1010,1
790000,4,2460,1
305000,4,2230,2
315000,3,1570,2
267500,5,2390,2
1.75E+06,4,3460,2
435000,6,2400,2
482500,6,2940,1.5
5.11E+06,5,8010,2
439995,3,1570,1
460000,3,1520,1
194000,3,1070,1
290000,2,440,1
274700,4,2440,1
900000,4,2660,2
1.15E+06,4,4460,2
605000,3,2010,2
359000,3,1450,2
850000,3,1400,1
505000,3,1500,2
565000,3,2500,2
585000,2,1280,1
328000,4,3380,2
749950,4,2910,1
826000,4,3060,2
535000,3,1330,1
925000,4,3300,2
875000,3,3250,2
902000,4,2530,1
423000,3,1830,1
235000,3,1170,1
545000,2,2930,1
343000,2,1230,1
334950,3,1620,2
405000,3,1760,1
220000,4,1440,1
173000,2,1740,1
655000,3,1270,1.5
406000,2,880,1
632000,6,2560,1
357000,5,1540,1
361000,3,1150,1
277000,2,770,1
630000,4,4610,1
254000,3,1850,2
472800,3,1840,1
263000,3,1490,1
510000,3,1490,1
179950,3,960,1
525000,4,1580,1
479000,3,1260,3
651000,3,1940,1
949000,4,2490,1
392400,5,2520,1.5
585000,4,1760,1
460000,4,4190,2
470000,3,1170,1
245000,3,1600,2
500000,4,2760,2
455000,3,2090,2
485500,4,2320,2
1.88E+06,5,4110,2
100000,2,770,1
307000,3,1410,1
475000,4,3660,2
330000,4,2180,1
130000,3,1110,1
320000,3,2280,2
735000,4,2820,2
365000,4,1570,1
234000,3,1200,1
211000,4,1710,1.5
680000,6,3000,2
457000,4,2800,2
349000,3,1640,2
360000,3,2030,1
350000,4,2530,2
208000,3,990,1
250275,2,790,1
435000,2,790,1
270000,3,1800,1
438000,3,1650,1
659000,4,1980,2
645000,4,2340,1
685100,4,2790,2
350000,7,2800,1
375000,2,1840,1
170000,3,1350,1
880000,4,3030,3
410500,4,1980,2
780000,4,3690,2
1.23E+06,5,3732,2.5
449000,2,1510,1
546000,3,2000,1
317000,3,1760,1
276900,3,1270,1
399000,5,2620,1
495000,5,2630,1
258000,3,2270,1
600000,2,2410,1
265000,3,1120,3
321000,5,3030,1
682000,5,2120,1.5
295700,4,1720,2
609000,4,2150,2
995000,3,4380,2
530000,3,2010,2
614000,5,3150,2
390000,3,2500,1
467000,3,1690,2
484000,6,3300,1
340000,3,1240,3
302495,3,2200,2
532500,3,1620,1
441500,3,2420,2
470000,4,2680,1
2.30E+06,4,4250,2
590000,3,2400,1
320000,3,2300,1
363000,2,920,2
747500,4,2350,2
750000,2,2630,2
831000,4,2170,2
403000,3,1700,2
445000,3,2470,2
345000,3,1250,1
2.26E+06,3,3110,1
371025,3,1530,1
355000,2,960,1
270000,3,1240,1
425000,4,2440,2
364808,3,2320,1
320000,3,1580,1
325000,4,2963,2
350000,3,2470,2
170000,3,1370,1
255000,2,960,1
550000,3,1130,1
835000,4,4930,2
420000,3,1150,1
925000,4,2190,2.5
389250,2,1490,1
748000,3,2600,1
284000,3,1530,1
588000,4,1680,1
372500,3,1680,1
285000,4,1900,2
360000,3,1570,1
275000,3,1370,1
428000,2,1350,1
847000,6,3010,2
316000,3,1010,1
375000,3,2050,2
533000,3,1670,1
556000,5,3840,2
225000,4,2220,1
537250,4,2590,1
255000,3,1180,1
530000,4,2950,2
5.30E+06,6,7390,2
595000,3,2150,2
548000,4,2100,1
234975,3,1650,1
600000,3,1620,2.5
432000,4,1750,1
455000,3,1380,2
279950,3,1510,1
267500,3,1600,1
620000,4,1840,2
110000,2,830,1
625000,3,1810,2
389000,2,910,1
1.20E+06,4,2120,2
788500,4,2510,2
567000,5,2100,1
515000,2,2690,1
605000,4,2430,1
430000,4,2452,2
805000,2,1550,1
567500,3,2080,2
647500,3,1290,1
495000,2,1850,2.5
825000,4,3370,2
435000,4,2730,2
445950,3,1300,1
960000,5,3040,2
780000,4,2440,1.5
274500,3,1720,1
729953,5,3230,1.5
464950,3,1200,2
